Height,Gender,TimeBetweenVisits,DailySteps,Weight,City
186,1,112,7022,51,Moscow
171,2,12,7033,82,Kazan
182,1,6,7027,82,Kazan
171,2,47,7056,53,Kazan
191,1,32,7129,82,Saint Petersburg
188,1,21,7008,93,Saint Petersburg
168,1,24,6949,53,Kazan
180,1,38,7018,56,Moscow
176,2,8,6888,85,Kazan
184,2,168,6962,74,Kazan
160,2,110,7037,78,Moscow
177,1,32,7047,75,Kazan
181,2,7,7042,76,Moscow
152,2,34,6952,50,Saint Petersburg
158,2,2,6987,86,Saint Petersburg
150,1,1,7087,88,Moscow
167,1,9,7141,67,Saint Petersburg
177,1,19,6955,69,Saint Petersburg
185,2,61,6969,47,Moscow
171,2,39,7051,78,Saint Petersburg
186,2,41,6970,79,Kazan
156,1,17,6983,69,Kazan
153,1,13,7120,87,Moscow
169,2,14,6903,65,Saint Petersburg
174,1,132,7035,78,Kazan
170,1,1,6961,55,Kazan
149,1,61,6978,70,Saint Petersburg
169,1,26,7043,67,Saint Petersburg
157,2,17,6967,73,Kazan
177,1,39,7046,64,Kazan
174,1,20,6997,68,Moscow
161,1,62,7001,82,Moscow
165,1,69,6972,63,Kazan
159,2,16,6905,46,Moscow
169,2,10,7065,96,Kazan
180,1,27,6948,91,Kazan
160,1,73,6884,51,Moscow
175,1,7,6954,80,Moscow
165,1,29,7025,62,Saint Petersburg
162,1,30,7222,74,Saint Petersburg
169,1,40,6972,74,Saint Petersburg
160,2,4,7010,66,Kazan
164,1,38,7013,58,Moscow
158,2,72,7067,60,Kazan
190,2,6,6986,56,Moscow
170,1,8,6939,58,Kazan
163,2,107,6826,69,Saint Petersburg
172,2,6,7014,59,Saint Petersburg
169,2,58,7019,80,Saint Petersburg
168,2,20,6987,92,Kazan
176,2,9,6997,61,Moscow
178,2,61,7030,74,Moscow
165,1,18,7029,77,Saint Petersburg
164,2,22,6975,77,Saint Petersburg
167,2,13,6994,71,Saint Petersburg
147,2,27,7134,81,Saint Petersburg
155,1,5,7008,77,Moscow
184,2,15,6892,51,Kazan
186,1,105,6889,83,Kazan
168,2,9,6944,83,Kazan
176,1,32,7177,59,Kazan
173,1,12,6991,71,Saint Petersburg
201,2,45,6996,80,Saint Petersburg
181,2,4,7021,67,Saint Petersburg
169,1,105,6947,86,Kazan
160,2,18,7067,105,Saint Petersburg
154,1,8,7003,58,Saint Petersburg
172,1,2,7018,49,Moscow
162,1,6,7089,75,Moscow
156,1,22,7017,81,Saint Petersburg
164,1,12,6921,67,Moscow
159,2,53,7100,92,Moscow
187,1,17,7097,50,Saint Petersburg
179,1,9,6834,80,Saint Petersburg
170,2,29,6988,61,Saint Petersburg
185,1,37,7030,96,Saint Petersburg
171,2,5,7046,100,Kazan
161,2,6,7047,59,Kazan
185,2,1,6950,62,Saint Petersburg
175,1,40,7081,83,Moscow
160,1,33,7043,64,Saint Petersburg
168,1,19,6949,69,Saint Petersburg
161,2,56,7060,70,Moscow
156,1,49,7061,41,Kazan
